Name,Cuisine,Ranking,Rating,Price,ReviewCount,Reviews,URL_TA
Restaurant Tagine,"['Lebanese', 'Moroccan', 'Mediterranean', 'Middle Eastern', 'Arabic']",1582.0,4.5,Medium,16.0,"[['Food with great flavor from a multi-talent...', 'Jimbo'], ['05/20/2017', '03/03/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d11925522-Reviews-Restaurant_Tagine-Berlin.html
Bruno,['Italian'],1584.0,5.0,Medium,16.0,"[['Feels like home', 'Total surprise'], ['11/26/2016', '10/15/2015']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d2722258-Reviews-Bruno-Berlin.html
Stranero,"['Italian', 'Pizza', 'Mediterranean']",1586.0,4.5,Low,33.0,"[['Good pizza, friendly stuff', 'Authentic italian pizzas'], ['01/09/2018', '11/23/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d8665407-Reviews-Stranero-Berlin.html
L'Eustache,['Mediterranean'],1587.0,4.5,Medium,28.0,"[['Great French Resturant', 'Délicate french cuisine'], ['12/16/2017', '02/25/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d8374127-Reviews-L_Eustache-Berlin.html
Pho 12,"['Asian', 'Vietnamese', 'Soups', 'Seafood', 'Vegan Options']",1588.0,4.0,Low,39.0,"[['Good honest food', 'Great place'], ['11/20/2016', '10/13/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d4878285-Reviews-Pho_12-Berlin.html
Ristorante Pizzeria Sapori di Casa,"['Italian', 'Pizza']",1589.0,5.0,Medium,8.0,"[['Great value, lovely food & friendly staff', 'Very nice dinner'], ['12/03/2017', '10/17/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d12475273-Reviews-Ristorante_Pizzeria_Sapori_di_Casa-Berlin.html
Altberliner Restaurant,"['German', 'European', 'Central European']",1590.0,4.0,Medium,63.0,"[['Delicious, friendly', 'hang out like a local'], ['06/27/2017', '11/03/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d4329004-Reviews-Altberliner_Restaurant-Berlin.html
Bangkok Treffpunkt,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options']",1591.0,4.0,Low,50.0,"[['Dinner', 'Quick and good meal'], ['10/12/2017', '08/14/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d804187-Reviews-Bangkok_Treffpunkt-Berlin.html
Siena,['Italian'],1592.0,4.5,Medium,21.0,"[['Awesome service', 'We Love It!!!'], ['07/15/2017', '09/11/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d7283825-Reviews-Siena-Berlin.html
Ben Thanh,['Vietnamese'],1593.0,5.0,Low,25.0,"[['Good, authentic food. Great value.', 'Excellent choice'], ['12/11/2016', '11/08/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d3218008-Reviews-Ben_Thanh-Berlin.html
Blechbilderbar,"['German', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",1594.0,4.0,Low,51.0,"[['Worth visiting twice!', 'Urban and friendly'], ['08/02/2017', '07/22/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d2141831-Reviews-Blechbilderbar-Berlin.html
Satyam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",1596.0,3.5,Medium,108.0,"[['very good veg indian', 'Very good vegan Indian'], ['01/01/2018', '11/15/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d958871-Reviews-Satyam-Berlin.html
Salumeria Culinario,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",1597.0,4.0,Medium,70.0,"[['Quaint, good food', 'Love this place – indoor and outdoor'], ['07/03/2017', '06/25/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d803771-Reviews-Salumeria_Culinario-Berlin.html
DaGiorgio's,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",1598.0,4.5,Medium,19.0,"[['Great pasta', 'Great find!'], ['10/19/2017', '09/25/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d6528314-Reviews-DaGiorgio_s-Berlin.html
